Division,Product Name,State/Province,City,Sales,,Product Name,Total Sales,Percent of Sugar Sales
Chocolate,Wonka Bar - Fudge Mallows,Colorado,Aurora,39.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Colorado,Denver,72,,,,
Chocolate,Wonka Bar - Fudge Mallows,Colorado,Fort Collins,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Colorado,Greeley,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Colorado,Louisville,50.400000000000006,,,,
Chocolate,Wonka Bar - Fudge Mallows,Colorado,Thornton,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Connecticut,Fairfield,39.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Connecticut,Meriden,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Connecticut,Middletown,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Connecticut,Milford,43.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Delaware,Newark,54,,,,
Chocolate,Wonka Bar - Fudge Mallows,Delaware,Wilmington,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,District of Columbia,Washington,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Fort Lauderdale,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Hialeah,46.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Jacksonville,72,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Jupiter,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Lakeland,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Miami,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Miramar,57.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Orlando,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Pembroke Pines,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Tallahassee,54,,,,
Chocolate,Wonka Bar - Fudge Mallows,Florida,Tampa,36,,,,
Chocolate,Wonka Bar - Fudge Mallows,Georgia,Atlanta,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Georgia,Columbus,39.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Georgia,Roswell,21.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Georgia,Sandy Springs,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Georgia,Smyrna,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Idaho,Meridian,21.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Idaho,Pocatello,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Aurora,54,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Chicago,248.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Danville,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Decatur,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Freeport,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Naperville,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Oak Park,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Peoria,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Illinois,Quincy,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Indiana,Columbus,36,,,,
Chocolate,Wonka Bar - Fudge Mallows,Indiana,Indianapolis,21.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Indiana,Richmond,25.200000000000003,,,,
Chocolate,Wonka Bar - Fudge Mallows,Iowa,Burlington,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Iowa,Des Moines,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Iowa,Marion,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Kentucky,Georgetown,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Kentucky,Henderson,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Kentucky,Louisville,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Kentucky,Richmond,46.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Louisiana,Lafayette,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Manitoba,Winnipeg,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Maryland,Baltimore,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Massachusetts,Cambridge,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Massachusetts,Everett,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Massachusetts,Lowell,50.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Massachusetts,New Bedford,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Michigan,Detroit,154.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Michigan,Jackson,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Michigan,Oak Park,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Michigan,Rochester Hills,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Michigan,Roseville,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Michigan,Saginaw,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Minnesota,Eagan,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Minnesota,Minneapolis,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Minnesota,Rochester,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Mississippi,Jackson,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Mississippi,Southaven,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Missouri,Saint Charles,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Missouri,Springfield,32.400000000000006,,,,
Chocolate,Wonka Bar - Fudge Mallows,Nebraska,Fremont,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Nebraska,Omaha,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Nevada,Las Vegas,43.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Hampshire,Concord,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Hampshire,Nashua,21.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Jersey,Belleville,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Jersey,Lakewood,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Jersey,Morristown,25.200000000000003,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Jersey,Orange,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Jersey,Paterson,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Mexico,Albuquerque,46.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,New Mexico,Carlsbad,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,New York,Long Beach,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,New York,Mount Vernon,21.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,New York,New Rochelle,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,New York,New York City,777.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,New York,Rochester,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,New York,Rome,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,New York,Yonkers,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,North Carolina,Burlington,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,North Carolina,Charlotte,111.60000000000001,,,,
Chocolate,Wonka Bar - Fudge Mallows,North Carolina,Fayetteville,32.400000000000006,,,,
Chocolate,Wonka Bar - Fudge Mallows,North Carolina,Greensboro,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,North Carolina,Jacksonville,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,North Carolina,Wilmington,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,North Dakota,Fargo,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Akron,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Bowling Green,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Cincinnati,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Cleveland,39.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Columbus,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Dublin,57.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Fairfield,36,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Grove City,36,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Kent,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Lakewood,39.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Lancaster,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Marion,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Mentor,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Newark,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Parma,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Springfield,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Toledo,43.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ohio,Troy,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Oklahoma,Muskogee,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Oklahoma,Oklahoma City,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Oklahoma,Tulsa,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Ontario,Toronto,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Oregon,Portland,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Oregon,Salem,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Oregon,Springfield,104.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Pennsylvania,Lancaster,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Pennsylvania,Philadelphia,356.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Pennsylvania,York,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Quebec,Montreal,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Rhode Island,Cranston,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Rhode Island,Providence,21.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Rhode Island,Woonsocket,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,South Dakota,Sioux Falls,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Tennessee,Chattanooga,43.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Tennessee,Clarksville,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Tennessee,Jackson,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Tennessee,Knoxville,54,,,,
Chocolate,Wonka Bar - Fudge Mallows,Tennessee,Memphis,72,,,,
Chocolate,Wonka Bar - Fudge Mallows,Tennessee,Nashville,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Amarillo,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Arlington,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Austin,43.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Brownsville,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Dallas,194.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Fort Worth,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Garland,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Grand Prairie,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Houston,244.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Odessa,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Pasadena,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Pearland,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Plano,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Round Rock,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Tyler,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Texas,Waco,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Utah,Murray,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Utah,Provo,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Virginia,Salem,82.80000000000001,,,,
Chocolate,Wonka Bar - Fudge Mallows,Virginia,Springfield,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Virginia,Suffolk,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Virginia,Virginia Beach,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Washington,Edmonds,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Washington,Everett,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,Washington,Kent,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Washington,Olympia,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Washington,Seattle,302.40000000000003,,,,
Chocolate,Wonka Bar - Fudge Mallows,Washington,Spokane,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Wisconsin,Green Bay,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,Wisconsin,Milwaukee,75.60000000000001,,,,
Chocolate,Wonka Bar - Milk Chocolate,Alabama,Florence,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Alabama,Huntsville,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Alberta,Calgary,32.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arizona,Chandler,32.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arizona,Gilbert,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arizona,Glendale,29.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arizona,Mesa,3.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arizona,Peoria,3.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arizona,Phoenix,94.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arizona,Tucson,45.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arkansas,Fayetteville,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arkansas,Little Rock,39,,,,
Chocolate,Wonka Bar - Milk Chocolate,Arkansas,Pine Bluff,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Anaheim,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Brentwood,29.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Chico,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Costa Mesa,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Danville,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Fairfield,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Fresno,55.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Hesperia,19.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Inglewood,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Lodi,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Long Beach,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Los Angeles,601.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Modesto,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Oakland,45.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Oceanside,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Oxnard,16.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Pasadena,45.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Pico Rivera,16.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Pomona,55.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Rancho Cucamonga,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,San Diego,159.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,San Francisco,575.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,San Jose,19.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Santa Ana,26,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Stockton,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Sunnyvale,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,California,Westminster,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Colorado,Aurora,19.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Colorado,Denver,42.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Colorado,Louisville,45.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Colorado,Parker,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Colorado,Thornton,45.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Connecticut,Fairfield,26,,,,
Chocolate,Wonka Bar - Milk Chocolate,Connecticut,Meriden,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Connecticut,Middletown,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Connecticut,Waterbury,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Delaware,Newark,74.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Boynton Beach,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Deltona,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Fort Lauderdale,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Hollywood,16.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Jacksonville,123.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Miami,32.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Miramar,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Ormond Beach,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Pembroke Pines,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Tallahassee,42.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Florida,Tampa,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Georgia,Atlanta,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Georgia,Columbus,87.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Georgia,Roswell,19.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Georgia,Sandy Springs,19.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Georgia,Smyrna,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Idaho,Pocatello,16.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Illinois,Aurora,48.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Illinois,Bloomington,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Illinois,Chicago,260,,,,
Chocolate,Wonka Bar - Milk Chocolate,Illinois,Naperville,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Illinois,Palatine,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Illinois,Rockford,45.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Illinois,Skokie,26,,,,
Chocolate,Wonka Bar - Milk Chocolate,Illinois,Wheeling,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Indiana,Columbus,71.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Indiana,Indianapolis,68.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Indiana,Lawrence,29.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Indiana,Richmond,61.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Iowa,Des Moines,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Iowa,Marion,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Iowa,Waterloo,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Kansas,Garden City,3.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Kansas,Overland Park,26,,,,
Chocolate,Wonka Bar - Milk Chocolate,Kentucky,Bowling Green,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Kentucky,Florence,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Kentucky,Henderson,52,,,,
Chocolate,Wonka Bar - Milk Chocolate,Kentucky,Louisville,32.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Kentucky,Murray,16.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Kentucky,Richmond,19.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Louisiana,Lafayette,32.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Louisiana,Lake Charles,35.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Manitoba,Winnipeg,45.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Maryland,Columbia,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Massachusetts,Cambridge,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Massachusetts,Everett,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Massachusetts,Lawrence,26,,,,
Chocolate,Wonka Bar - Milk Chocolate,Massachusetts,Lowell,29.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Massachusetts,New Bedford,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Massachusetts,Quincy,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Michigan,Detroit,55.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Michigan,Jackson,26,,,,
Chocolate,Wonka Bar - Milk Chocolate,Michigan,Oak Park,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Michigan,Roseville,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Michigan,Saginaw,3.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Michigan,Trenton,3.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Minnesota,Lakeville,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Minnesota,Maple Grove,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Minnesota,Minneapolis,22.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Minnesota,Moorhead,13,,,,
Chocolate,Wonka Bar - Milk Chocolate,Minnesota,Rochester,55.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,Missouri,Gladstone,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,Missouri,Independence,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,Missouri,Springfield,91,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Hampshire,Concord,87.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Jersey,Belleville,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Jersey,East Orange,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Jersey,Lakewood,42.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Jersey,Orange,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Jersey,Paterson,35.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Jersey,Perth Amboy,16.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Jersey,Plainfield,35.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Jersey,Vineland,16.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Mexico,Albuquerque,84.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,New Mexico,Carlsbad,35.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New York,Long Beach,29.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,New York,Mount Vernon,26,,,,
Chocolate,Wonka Bar - Milk Chocolate,New York,New Rochelle,9.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New York,New York City,633.75,,,,
Chocolate,Wonka Bar - Milk Chocolate,New York,Oceanside,6.5,,,,
Chocolate,Wonka Bar - Milk Chocolate,New York,Rochester,39,,,,
Chocolate,Wonka Bar - Milk Chocolate,North Carolina,Burlington,42.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,North Carolina,Charlotte,29.25,,,,
Chocolate,Wonka Bar - Milk Chocolate,North Carolina,Fayetteville,22.75,,,,
